t,wind_direction,wind_direction_quality,wind_speed,wind_speed_quality,air_temperature,air_temperature_quality,dew_point,dew_point_quality,air_pressure_at_sea_level,air_pressure_at_sea_level_quality,rainfall_1,rainfall_1_quality,rainfall_1_period
1996-08-21T00:54Z,2.96705972839036,1,1.5,1,14,1,11,1,,9,,,
1996-08-21T02:14Z,,1,0,1,12,1,9,1,,9,,,
1996-08-21T03:14Z,2.96705972839036,1,2.1,1,11,1,8,1,,9,,,
1996-08-21T03:34Z,,1,0,1,11,1,8,1,,9,,,
1996-08-21T04:34Z,,1,0,1,11,1,9,1,,9,,,
1996-08-21T05:34Z,3.31612557878923,1,1.5,1,9,1,8,1,,9,,,
1996-08-21T08:14Z,3.14159265358979,1,2.6,1,9,1,7,1,,9,,,
1996-08-21T08:35Z,,1,0,1,9,1,7,1,,9,,,
1996-08-21T09:34Z,,1,0,1,8,1,6,1,,9,,,
1996-08-21T10:34Z,,1,0,1,8,1,7,1,,9,,,
1996-08-21T11:35Z,2.79252680319093,1,1.5,1,8,1,6,1,,9,,,
1996-08-21T13:14Z,,1,0,1,8,1,7,1,,9,3e-04,1,3600
1996-08-21T14:14Z,,1,0,1,8,1,7,1,,9,,,
1996-08-21T14:34Z,,1,0,1,8,1,7,1,,9,,,
1996-08-21T15:34Z,2.0943951023932,1,1.5,1,9,1,7,1,,9,,,
1996-08-21T16:34Z,,1,0,1,9,1,7,1,,9,,,
1996-08-21T18:14Z,,1,0,1,11,1,9,1,,9,,,
1996-08-21T18:34Z,,1,0,1,11,1,9,1,,9,,,
1996-08-21T19:34Z,0.872664625997165,1,1.5,1,12,1,9,1,,9,,,
1996-08-21T20:34Z,,1,0,1,13,1,10,1,,9,,,
1996-08-21T21:34Z,1.39626340159546,1,1.5,1,14,1,9,1,,9,,,
1996-08-21T22:34Z,,1,0,1,15,1,8,1,,9,,,
1996-08-22T00:14Z,,1,0,1,14,1,9,1,,9,,,
1996-08-22T00:34Z,,1,0,1,15,1,10,1,,9,,,
1996-08-22T01:34Z,2.96705972839036,1,2.1,1,14,1,9,1,,9,,,
1996-08-22T02:34Z,3.14159265358979,1,1.5,1,13,1,9,1,,9,,,
1996-08-22T03:34Z,,1,0,1,12,1,10,1,,9,3e-04,1,3600
1996-08-22T04:34Z,2.79252680319093,1,2.6,1,11,1,8,1,,9,,,
1996-08-22T05:34Z,3.66519142918809,1,1.5,1,10,1,8,1,,9,3e-04,1,3600
1996-08-22T07:14Z,3.14159265358979,1,2.1,1,9,1,7,1,,9,3e-04,1,3600
1996-08-22T07:34Z,3.66519142918809,1,1.5,1,9,1,7,1,,9,3e-04,1,3600
1996-08-22T08:34Z,3.49065850398866,1,1.5,1,9,1,7,1,,9,,,
1996-08-22T09:34Z,3.49065850398866,1,1.5,1,8,1,7,1,,9,,,
1996-08-22T10:34Z,3.49065850398866,1,2.1,1,8,1,7,1,,9,,,
1996-08-22T11:34Z,3.14159265358979,1,2.1,1,8,1,6,1,,9,,,
1996-08-22T12:34Z,3.31612557878923,1,2.1,1,8,1,7,1,,9,5e-04,1,3600
1996-08-22T14:14Z,,1,0,1,8,1,7,1,,9,,,
1996-08-22T14:34Z,3.14159265358979,1,1.5,1,8,1,7,1,,9,,,
1996-08-22T15:34Z,2.61799387799149,1,1.5,1,8,1,7,1,,9,,,
1996-08-22T16:34Z,,1,0,1,9,1,6,1,,9,,,
1996-08-22T17:34Z,,1,0,1,11,1,8,1,,9,,,
1996-08-22T18:34Z,,1,0,1,11,1,8,1,,9,,,
1996-08-22T20:14Z,,1,0,1,13,1,9,1,,9,,,
1996-08-22T20:34Z,0.523598775598299,1,2.1,1,13,1,9,1,,9,,,
1996-08-22T22:14Z,,1,0,1,13,1,9,1,,9,,,
1996-08-22T22:34Z,0.349065850398866,1,1.5,1,13,1,10,1,,9,,,
1996-08-22T23:34Z,0.523598775598299,1,1.5,1,14,1,9,1,,9,,,
1996-08-23T00:34Z,,1,0,1,14,1,9,1,,9,,,
1996-08-23T02:14Z,2.61799387799149,1,2.6,1,13,1,9,1,,9,,,
1996-08-23T02:34Z,,1,0,1,13,1,8,1,,9,,,
1996-08-23T04:14Z,3.31612557878923,1,2.6,1,11,1,8,1,,9,,,
1996-08-23T05:14Z,2.96705972839036,1,2.1,1,11,1,7,1,,9,,,
1996-08-23T05:34Z,3.31612557878923,1,2.6,1,9,1,6,1,,9,,,
1996-08-23T06:34Z,3.14159265358979,1,2.1,1,9,1,7,1,,9,,,
1996-08-23T07:34Z,3.14159265358979,1,1.5,1,9,1,6,1,,9,,,
1996-08-23T08:34Z,2.26892802759263,1,1.5,1,9,1,7,1,,9,,,
1996-08-23T09:34Z,3.31612557878923,1,2.6,1,9,1,6,1,,9,,,
1996-08-23T10:34Z,2.0943951023932,1,1.5,1,9,1,6,1,,9,,,
1996-08-23T11:54Z,2.79252680319093,1,1.5,1,9,1,7,1,,9,,,
1996-08-23T12:34Z,,1,0,1,9,1,7,1,,9,,,
1996-08-23T13:34Z,2.96705972839036,1,1.5,1,9,1,7,1,,9,,,
1996-08-23T14:54Z,3.31612557878923,1,1.5,1,8,1,7,1,,9,,,
1996-08-23T15:34Z,,1,0,1,8,1,6,1,,9,,,
1996-08-23T16:34Z,,1,0,1,9,1,8,1,,9,,,
1996-08-23T17:34Z,,1,0,1,11,1,8,1,,9,,,
1996-08-23T18:34Z,1.74532925199433,1,1.5,1,12,1,8,1,,9,,,
1996-08-23T19:34Z,,1,0,1,12,1,8,1,,9,,,
1996-08-23T21:14Z,,1,0,1,12,1,9,1,,9,,,
1996-08-23T21:34Z,,1,0,1,12,1,9,1,,9,,,
1996-08-23T22:34Z,,1,0,1,12,1,9,1,,9,,,
1996-08-23T23:34Z,,1,0,1,12,1,8,1,,9,,,
1996-08-24T00:54Z,3.14159265358979,1,1.5,1,12,1,8,1,,9,,,
1996-08-24T01:34Z,,1,0,1,12,1,8,1,,9,,,
1996-08-24T02:34Z,3.31612557878923,1,1.5,1,11,1,7,1,,9,,,
1996-08-24T03:34Z,,1,0,1,11,1,7,1,,9,,,
1996-08-24T04:34Z,,1,0,1,11,1,8,1,,9,,,
1996-08-24T05:34Z,,1,0,1,9,1,6,1,,9,,,
1996-08-24T06:34Z,,1,0,1,9,1,6,1,,9,,,
1996-08-24T07:34Z,3.49065850398866,1,2.1,1,9,1,6,1,,9,,,
1996-08-24T08:34Z,3.49065850398866,1,2.1,1,8,1,6,1,,9,,,
1996-08-24T09:34Z,,1,0,1,8,1,6,1,,9,,,
1996-08-24T10:34Z,,1,0,1,9,1,7,1,,9,,,
1996-08-24T11:34Z,,1,0,1,8,1,6,1,,9,,,
1996-08-24T12:34Z,,1,0,1,8,1,7,1,,9,,,
1996-08-24T14:14Z,,1,0,1,9,1,7,1,,9,3e-04,1,3600
1996-08-24T14:34Z,,1,0,1,9,1,7,1,,9,3e-04,1,3600
1996-08-24T15:34Z,,1,0,1,8,1,7,1,,9,,,
1996-08-24T16:54Z,,1,0,1,9,1,7,1,,9,3e-04,1,3600
1996-08-24T17:34Z,,1,0,1,10,1,8,1,,9,,,
1996-08-24T18:35Z,,1,0,1,,9,,9,,9,,,
1996-08-24T18:54Z,,1,0,1,10,1,8,1,,9,,,
1996-08-24T19:15Z,,1,0,1,,9,,9,,9,,,
1996-08-24T19:35Z,,1,0,1,,9,,9,,9,,,
1996-08-24T19:50Z,,1,0,1,10,1,8,1,,9,,,
1996-08-24T20:00Z,,1,0,1,,9,,9,,9,,,
1996-08-24T20:15Z,,1,0,1,,9,,9,,9,,,
1996-08-24T20:35Z,,1,0,1,,9,,9,,9,,,
1996-08-24T20:50Z,,1,0,1,12,1,9,1,,9,,,
1996-08-24T21:00Z,,1,0,1,,9,,9,,9,,,
1996-08-24T21:15Z,,1,0,1,,9,,9,,9,,,
1996-08-24T21:35Z,0.698131700797732,1,2.6,1,,9,,9,,9,,,
1996-08-24T21:49Z,,1,0,1,12,1,9,1,,9,,,
1996-08-24T22:00Z,,1,0,1,,9,,9,,9,,,
1996-08-24T22:52Z,,1,0,1,11,1,9,1,,9,,,
1996-08-24T23:00Z,0.523598775598299,1,1.5,1,,9,,9,,9,,,
1996-08-24T23:15Z,,1,0,1,,9,,9,,9,,,
1996-08-24T23:35Z,,1,0,1,,9,,9,,9,,,
1996-08-24T23:49Z,0.349065850398866,1,1.5,1,10,1,9,1,,9,,,
1996-08-25T00:00Z,,1,0,1,,9,,9,,9,,,
1996-08-25T00:15Z,0.523598775598299,1,1.5,1,,9,,9,,9,,,
1996-08-25T00:35Z,0.174532925199433,1,1.5,1,,9,,9,,9,,,
1996-08-25T00:51Z,,1,0,1,11,1,10,1,,9,,,
1996-08-25T01:00Z,0.174532925199433,1,1.5,1,,9,,9,,9,,,
1996-08-25T01:15Z,2.61799387799149,1,1.5,1,,9,,9,,9,,,
1996-08-25T01:35Z,,1,0,1,,9,,9,,9,,,
1996-08-25T01:52Z,,1,0,1,,9,,9,,9,,,
1996-08-25T02:00Z,,1,0,1,,9,,9,,9,,,
1996-08-25T02:15Z,3.31612557878923,1,2.1,1,,9,,9,,9,,,
1996-08-25T02:35Z,,1,0,1,,9,,9,,9,,,
1996-08-25T02:50Z,,1,0,1,12,1,10,1,,9,,,
1996-08-25T03:00Z,,1,0,1,,9,,9,,9,,,
1996-08-25T03:15Z,,1,0,1,,9,,9,,9,,,
1996-08-25T03:35Z,0.872664625997165,1,2.1,1,,9,,9,,9,,,
1996-08-25T03:53Z,1.39626340159546,1,1.5,1,12,1,10,1,,9,,,
1996-08-25T04:00Z,,1,0,1,,9,,9,,9,,,
1996-08-25T04:15Z,,1,0,1,,9,,9,,9,,,
1996-08-25T04:35Z,,1,0,1,,9,,9,,9,,,
1996-08-25T04:38Z,,1,0,1,12,1,10,1,,9,,,
1996-08-25T04:52Z,,1,0,1,12,1,10,1,,9,,,
1996-08-25T05:00Z,,1,0,1,,9,,9,,9,,,
1996-08-25T05:03Z,,1,0,1,12,1,10,1,,9,,,
1996-08-25T05:15Z,3.14159265358979,1,1.5,1,,9,,9,,9,,,
1996-08-25T05:32Z,3.14159265358979,1,1.5,1,12,1,10,1,,9,,,
1996-08-25T05:35Z,3.14159265358979,1,2.1,1,,9,,9,,9,,,
1996-08-25T05:47Z,3.49065850398866,1,1.5,1,12,1,10,1,,9,,,
1996-08-25T06:00Z,,1,0,1,,9,,9,,9,,,
1996-08-25T06:15Z,,1,0,1,,9,,9,,9,,,
1996-08-25T06:35Z,2.96705972839036,1,1.5,1,,9,,9,,9,,,
1996-08-25T07:00Z,3.14159265358979,1,1.5,1,,9,,9,,9,,,
1996-08-25T07:15Z,,1,0,1,,9,,9,,9,,,
1996-08-25T07:35Z,,1,0,1,,9,,9,,9,,,
1996-08-25T08:35Z,,1,0,1,,9,,9,,9,,,
1996-08-25T09:35Z,,1,0,1,,9,,9,,9,,,
1996-08-25T10:35Z,,1,0,1,,9,,9,,9,,,
1996-08-25T12:15Z,3.31612557878923,1,2.1,1,,9,,9,,9,,,
1996-08-25T12:35Z,3.49065850398866,1,1.5,1,,9,,9,,9,,,
1996-08-25T13:51Z,,1,0,1,10,1,9,1,,9,,,
1996-08-25T14:04Z,,1,0,1,10,1,9,1,,9,,,
1996-08-25T14:15Z,,1,0,1,,9,,9,,9,,,
1996-08-25T14:20Z,,1,0,1,10,1,9,1,,9,,,
1996-08-25T14:35Z,,1,0,1,,9,,9,,9,,,
1996-08-25T14:52Z,,1,0,1,9,1,9,1,,9,,,
1996-08-25T15:00Z,,1,0,1,,9,,9,,9,,,
1996-08-25T15:15Z,2.96705972839036,1,2.1,1,,9,,9,,9,,,
1996-08-25T15:18Z,2.79252680319093,1,1.5,1,9,1,9,1,,9,,,
1996-08-25T15:35Z,3.14159265358979,1,1.5,1,,9,,9,,9,,,
1996-08-25T15:51Z,,1,0,1,10,1,10,1,,9,,,
1996-08-25T16:00Z,,1,0,1,,9,,9,,9,,,
1996-08-25T16:15Z,6.10865238198015,1,1.5,1,,9,,9,,9,,,
1996-08-25T16:35Z,,1,0,1,,9,,9,,9,,,
1996-08-25T16:50Z,,1,0,1,10,1,10,1,,9,,,
1996-08-25T17:00Z,,1,0,1,,9,,9,,9,,,
1996-08-25T17:15Z,,1,0,1,,9,,9,,9,,,
